episode, 	score, 	total_loss, 	actor_loss, 	critic_loss, 	entropy
1, 	0.6795, 	-0.1964, 	-0.2660, 	0.0764, 	6.7785
2, 	0.7900, 	-0.4315, 	-0.4288, 	0.0041, 	6.7898
3, 	1.0165, 	-0.3714, 	-0.3689, 	0.0043, 	6.8018
4, 	1.2620, 	-0.4734, 	-0.4724, 	0.0059, 	6.8142
5, 	0.9540, 	-0.6014, 	-0.6016, 	0.0069, 	6.8368
6, 	1.0565, 	-0.6887, 	-0.6907, 	0.0088, 	6.8518
7, 	1.1620, 	-0.5948, 	-0.5959, 	0.0080, 	6.8710
8, 	1.1960, 	-0.6870, 	-0.6900, 	0.0098, 	6.8934
9, 	1.4200, 	-0.8742, 	-0.8825, 	0.0153, 	6.9107
10, 	1.4530, 	-0.3417, 	-0.3391, 	0.0043, 	6.9382
11, 	1.6790, 	-0.8693, 	-0.8772, 	0.0148, 	6.9521
12, 	2.1715, 	-0.9252, 	-0.9334, 	0.0152, 	6.9641
13, 	1.7290, 	-0.8971, 	-0.9035, 	0.0134, 	6.9732
14, 	2.1780, 	-1.2140, 	-1.2310, 	0.0239, 	6.9832
15, 	2.9150, 	-1.4955, 	-1.5228, 	0.0343, 	6.9806
16, 	2.2975, 	-1.4161, 	-1.4446, 	0.0354, 	6.9874
17, 	2.3160, 	-1.3234, 	-1.3471, 	0.0307, 	6.9897
18, 	2.4865, 	-1.4031, 	-1.4301, 	0.0339, 	6.9913
19, 	2.9550, 	-1.2730, 	-1.2953, 	0.0292, 	6.9925
20, 	2.7460, 	-1.2187, 	-1.2360, 	0.0244, 	6.9992
21, 	2.9105, 	-1.6809, 	-1.7186, 	0.0447, 	6.9983
22, 	3.9420, 	-1.8747, 	-1.9264, 	0.0587, 	6.9837
23, 	3.3560, 	-2.1452, 	-2.2213, 	0.0831, 	6.9811
24, 	3.6035, 	-1.7461, 	-1.7863, 	0.0471, 	6.9836
25, 	4.1075, 	-2.1669, 	-2.2370, 	0.0770, 	6.9724
26, 	3.8585, 	-1.8586, 	-1.9099, 	0.0582, 	6.9738
27, 	4.2775, 	-1.9419, 	-2.0024, 	0.0675, 	6.9693
28, 	4.4185, 	-1.7796, 	-1.8309, 	0.0583, 	6.9635
29, 	5.0085, 	-2.7697, 	-2.9016, 	0.1389, 	6.9495
30, 	4.2845, 	-2.0857, 	-2.1545, 	0.0758, 	6.9482
31, 	4.6650, 	-2.6849, 	-2.8075, 	0.1295, 	6.9407
32, 	5.1905, 	-2.2586, 	-2.3409, 	0.0893, 	6.9379
33, 	4.9920, 	-2.6363, 	-2.7462, 	0.1168, 	6.9291
34, 	5.3485, 	-2.2368, 	-2.3197, 	0.0898, 	6.9223
35, 	6.3325, 	-3.8075, 	-4.0712, 	0.2706, 	6.9033
36, 	5.6725, 	-2.8996, 	-3.0344, 	0.1417, 	6.8932
37, 	6.6065, 	-3.2872, 	-3.4709, 	0.1906, 	6.8801
38, 	5.6060, 	-2.9034, 	-3.0648, 	0.1683, 	6.8677
39, 	6.5100, 	-2.6974, 	-2.8210, 	0.1305, 	6.8561
40, 	6.6275, 	-4.5966, 	-5.0252, 	0.4355, 	6.8424
41, 	5.2705, 	-3.3402, 	-3.5510, 	0.2176, 	6.8394
42, 	6.5090, 	-3.1138, 	-3.3067, 	0.1997, 	6.8289
43, 	8.3645, 	-5.1568, 	-5.6715, 	0.5215, 	6.8078
44, 	6.2300, 	-3.1328, 	-3.3132, 	0.1871, 	6.8013
45, 	7.6200, 	-3.8727, 	-4.1561, 	0.2902, 	6.7840
46, 	8.2850, 	-4.2190, 	-4.5425, 	0.3303, 	6.7681
47, 	9.7520, 	-5.0378, 	-5.5901, 	0.5590, 	6.7404
48, 	10.4550, 	-5.6696, 	-6.4421, 	0.7792, 	6.7254
49, 	11.7365, 	-6.4772, 	-7.4008, 	0.9303, 	6.7076
50, 	11.7410, 	-6.6068, 	-7.7638, 	1.1637, 	6.6888
51, 	16.5450, 	-7.8945, 	-9.5718, 	1.6840, 	6.6647
52, 	16.2835, 	-7.9435, 	-9.7086, 	1.7718, 	6.6495
53, 	13.0490, 	-8.1482, 	-9.7586, 	1.6171, 	6.6429
54, 	17.5855, 	-8.4346, 	-10.3362, 	1.9083, 	6.6175
55, 	18.4935, 	-7.4197, 	-8.8613, 	1.4481, 	6.5980
56, 	20.6605, 	-9.4563, 	-11.9910, 	2.5413, 	6.5742
57, 	17.4835, 	-8.3368, 	-10.2234, 	1.8931, 	6.5586
58, 	21.9715, 	-9.1352, 	-11.7684, 	2.6397, 	6.5362
59, 	22.8420, 	-9.5946, 	-12.4255, 	2.8374, 	6.5160
60, 	24.8760, 	-9.9880, 	-13.3223, 	3.3407, 	6.4967
61, 	25.4970, 	-9.6830, 	-13.0174, 	3.3409, 	6.4828
62, 	26.3050, 	-11.5871, 	-15.8701, 	4.2894, 	6.4673
63, 	22.4080, 	-9.1033, 	-11.8678, 	2.7710, 	6.4547
64, 	23.3210, 	-10.7519, 	-13.7021, 	2.9566, 	6.4393
65, 	26.3805, 	-9.4367, 	-12.4669, 	3.0366, 	6.4175
66, 	25.9590, 	-10.1670, 	-13.4435, 	3.2829, 	6.4015
67, 	22.8125, 	-9.3488, 	-12.1008, 	2.7584, 	6.3891
68, 	23.0100, 	-9.4723, 	-12.3747, 	2.9088, 	6.3697
69, 	23.1790, 	-9.7570, 	-12.7887, 	3.0381, 	6.3519
70, 	26.5505, 	-10.7410, 	-13.9739, 	3.2393, 	6.3338
71, 	27.4480, 	-10.7347, 	-14.7957, 	4.0673, 	6.3092
72, 	27.8045, 	-10.8117, 	-15.1981, 	4.3927, 	6.2894
73, 	28.3580, 	-10.1579, 	-14.3674, 	4.2158, 	6.2699
74, 	25.1770, 	-10.4529, 	-14.2292, 	3.7825, 	6.2589
75, 	14.8000, 	-7.4223, 	-9.1290, 	1.7129, 	6.2612
76, 	17.0635, 	-7.2195, 	-8.8962, 	1.6829, 	6.2505
77, 	19.8330, 	-8.9180, 	-11.1754, 	2.2636, 	6.2380
78, 	23.0875, 	-8.9920, 	-12.0317, 	3.0459, 	6.2162
79, 	23.2455, 	-9.9260, 	-13.1670, 	3.2473, 	6.1998
80, 	29.3130, 	-9.8993, 	-14.1617, 	4.2686, 	6.1759
81, 	30.0350, 	-10.8692, 	-15.2396, 	4.3766, 	6.1596
82, 	30.5135, 	-11.1092, 	-15.7427, 	4.6396, 	6.1423
83, 	29.4975, 	-10.0956, 	-14.3917, 	4.3022, 	6.1256
84, 	29.4500, 	-10.6996, 	-15.2431, 	4.5496, 	6.1103
85, 	28.7615, 	-10.2153, 	-14.3624, 	4.1532, 	6.0951
86, 	27.5795, 	-9.6148, 	-13.1931, 	3.5844, 	6.0842
87, 	26.9205, 	-9.6164, 	-13.5368, 	3.9264, 	6.0701
88, 	31.7545, 	-11.1666, 	-16.2803, 	5.1197, 	6.0518
89, 	29.2565, 	-10.1784, 	-14.3646, 	4.1922, 	6.0399
90, 	32.0800, 	-10.0820, 	-14.8522, 	4.7762, 	6.0227
91, 	31.8390, 	-10.6662, 	-15.4948, 	4.8346, 	6.0122
92, 	31.6965, 	-10.3960, 	-15.3533, 	4.9633, 	5.9973
93, 	30.5745, 	-10.3352, 	-14.8597, 	4.5305, 	5.9860
94, 	30.7290, 	-10.1428, 	-14.7849, 	4.6481, 	5.9703
95, 	31.4160, 	-10.7072, 	-15.4896, 	4.7883, 	5.9577
96, 	32.6025, 	-10.1349, 	-15.0147, 	4.8857, 	5.9450
97, 	30.1425, 	-9.9861, 	-15.0531, 	5.0728, 	5.9385
98, 	29.4740, 	-10.1591, 	-15.0051, 	4.8519, 	5.9306
99, 	29.6300, 	-9.4158, 	-13.7221, 	4.3123, 	5.9198
100, 	29.6055, 	-10.2478, 	-14.8018, 	4.5599, 	5.9097
101, 	33.1935, 	-10.1305, 	-15.5420, 	5.4174, 	5.8936
102, 	28.9965, 	-8.9189, 	-12.8255, 	3.9125, 	5.8887
103, 	25.8425, 	-9.5163, 	-12.9998, 	3.4893, 	5.8876
104, 	26.1695, 	-9.2699, 	-12.8582, 	3.5942, 	5.8734
105, 	26.7335, 	-10.4973, 	-14.5654, 	4.0740, 	5.8612
106, 	31.2790, 	-10.5587, 	-15.7531, 	5.2003, 	5.8411
107, 	32.1520, 	-10.1726, 	-15.2020, 	5.0352, 	5.8244
108, 	30.5140, 	-9.8564, 	-14.3727, 	4.5221, 	5.8146
109, 	26.7210, 	-9.0669, 	-12.8163, 	3.7552, 	5.8054
110, 	31.2230, 	-9.9484, 	-14.9002, 	4.9575, 	5.7905
111, 	27.5745, 	-9.6734, 	-13.6754, 	4.0077, 	5.7788
112, 	31.5675, 	-9.4192, 	-14.2503, 	4.8368, 	5.7617
113, 	33.5105, 	-9.8401, 	-14.5768, 	4.7425, 	5.7538
114, 	28.3310, 	-8.7691, 	-12.8567, 	4.0934, 	5.7465
115, 	29.2165, 	-9.4943, 	-13.4643, 	3.9757, 	5.7404
116, 	26.2460, 	-8.2588, 	-11.5554, 	3.3023, 	5.7294
117, 	21.7075, 	-8.2087, 	-10.7005, 	2.4975, 	5.7295
118, 	28.8005, 	-9.5022, 	-13.6818, 	4.1853, 	5.7113
119, 	20.2730, 	-8.4694, 	-11.2724, 	2.8087, 	5.7038
120, 	27.9985, 	-8.9948, 	-12.3956, 	3.4065, 	5.6843
