episode, 	score, 	total_loss, 	actor_loss, 	critic_loss, 	entropy
1, 	0.3655, 	-0.5256, 	-0.5861, 	0.0224, 	6.7833
2, 	0.6465, 	-0.2899, 	-0.2900, 	0.0023, 	6.8012
3, 	0.8610, 	-0.3128, 	-0.3164, 	0.0035, 	6.8208
4, 	0.7780, 	-0.3613, 	-0.3639, 	0.0032, 	6.8433
5, 	0.6740, 	-0.5360, 	-0.5462, 	0.0057, 	6.8681
6, 	0.8675, 	-0.5501, 	-0.5627, 	0.0065, 	6.8955
7, 	1.0005, 	-0.8017, 	-0.8417, 	0.0157, 	6.9151
8, 	1.3080, 	-1.0269, 	-1.0877, 	0.0226, 	6.9361
9, 	1.1670, 	-0.5829, 	-0.5937, 	0.0059, 	6.9618
10, 	1.7975, 	-0.8798, 	-0.9186, 	0.0153, 	6.9714
11, 	1.5400, 	-1.0125, 	-1.0694, 	0.0213, 	6.9889
12, 	1.6595, 	-0.9698, 	-1.0148, 	0.0173, 	7.0033
13, 	2.3720, 	-1.4418, 	-1.5522, 	0.0392, 	7.0087
14, 	2.3725, 	-1.3951, 	-1.4978, 	0.0366, 	7.0147
15, 	2.6945, 	-1.3982, 	-1.4924, 	0.0337, 	7.0098
16, 	2.7885, 	-1.5558, 	-1.6892, 	0.0468, 	7.0126
17, 	2.6540, 	-1.2225, 	-1.2984, 	0.0277, 	7.0177
18, 	3.2860, 	-1.4669, 	-1.5695, 	0.0365, 	7.0167
19, 	3.4080, 	-1.6081, 	-1.7514, 	0.0501, 	7.0202
20, 	3.5000, 	-1.5519, 	-1.6870, 	0.0474, 	7.0153
21, 	3.2940, 	-1.9497, 	-2.1461, 	0.0678, 	7.0136
22, 	3.4520, 	-1.5355, 	-1.6560, 	0.0425, 	7.0090
23, 	4.4845, 	-2.0780, 	-2.3492, 	0.0927, 	6.9994
24, 	4.0905, 	-2.0904, 	-2.3269, 	0.0812, 	6.9940
25, 	3.9895, 	-1.8369, 	-2.0175, 	0.0625, 	6.9874
26, 	3.2445, 	-1.8235, 	-2.0296, 	0.0710, 	6.9858
27, 	4.6465, 	-2.6006, 	-3.0352, 	0.1472, 	6.9727
28, 	4.8710, 	-2.3436, 	-2.6841, 	0.1158, 	6.9635
29, 	4.9285, 	-2.7502, 	-3.2772, 	0.1780, 	6.9506
30, 	4.3615, 	-2.1226, 	-2.3886, 	0.0910, 	6.9439
31, 	5.0400, 	-2.3596, 	-2.7240, 	0.1238, 	6.9321
32, 	4.7880, 	-2.3961, 	-2.7561, 	0.1223, 	6.9316
33, 	4.9975, 	-2.7004, 	-3.1834, 	0.1633, 	6.9207
34, 	4.8725, 	-2.5862, 	-3.0262, 	0.1490, 	6.9098
35, 	5.3905, 	-2.5283, 	-2.9713, 	0.1500, 	6.8974
36, 	5.9390, 	-2.3215, 	-2.6751, 	0.1202, 	6.8935
37, 	6.9530, 	-2.8191, 	-3.3756, 	0.1878, 	6.8758
38, 	6.1740, 	-3.0481, 	-3.7367, 	0.2318, 	6.8639
39, 	6.8725, 	-3.2615, 	-4.0597, 	0.2683, 	6.8497
40, 	6.4910, 	-3.0957, 	-4.0077, 	0.3063, 	6.8350
41, 	5.3135, 	-2.6103, 	-3.1066, 	0.1677, 	6.8353
42, 	6.8265, 	-2.9364, 	-3.6565, 	0.2423, 	6.8194
43, 	8.1910, 	-3.9128, 	-5.4425, 	0.5121, 	6.7931
44, 	7.3095, 	-3.1022, 	-3.8249, 	0.2432, 	6.7886
45, 	6.5145, 	-3.0634, 	-3.8399, 	0.2611, 	6.7777
46, 	11.1285, 	-4.5460, 	-6.9556, 	0.8054, 	6.7387
47, 	10.6950, 	-4.3891, 	-6.8340, 	0.8172, 	6.7029
48, 	12.7795, 	-4.6287, 	-7.7074, 	1.0285, 	6.6792
49, 	14.3280, 	-4.4200, 	-8.6393, 	1.4086, 	6.6501
50, 	15.8160, 	-4.1215, 	-10.1902, 	2.0251, 	6.6220
51, 	18.8485, 	-4.1842, 	-11.1049, 	2.3091, 	6.5999
52, 	19.6605, 	-4.1320, 	-11.1140, 	2.3295, 	6.5783
53, 	17.4345, 	-3.9676, 	-12.3810, 	2.8066, 	6.5681
54, 	20.6375, 	-4.2389, 	-10.6383, 	2.1353, 	6.5510
55, 	22.8070, 	-3.8368, 	-11.8596, 	2.6764, 	6.5281
56, 	23.4975, 	-4.0757, 	-12.2682, 	2.7330, 	6.5085
57, 	20.8035, 	-4.4186, 	-12.3885, 	2.6588, 	6.4917
58, 	25.8230, 	-3.3092, 	-13.9330, 	3.5434, 	6.4652
59, 	24.8695, 	-3.4215, 	-13.3155, 	3.3001, 	6.4488
60, 	27.1120, 	-2.2918, 	-13.7466, 	3.8204, 	6.4285
61, 	27.1775, 	-2.3473, 	-13.4379, 	3.6990, 	6.4154
62, 	24.8305, 	-3.7954, 	-13.1649, 	3.1253, 	6.4047
63, 	26.6985, 	-3.2002, 	-13.1471, 	3.3178, 	6.3840
64, 	26.4140, 	-3.6394, 	-13.8119, 	3.3930, 	6.3670
65, 	27.3015, 	-3.0186, 	-13.5024, 	3.4967, 	6.3462
